date,trend_slug,trend_label,average_relative_interest,countries_available,start_date,months_from_start
2011-02-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-90
2011-02-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-138
2011-02-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-139
2011-02-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-90
2011-03-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-11
2011-03-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-111
2011-03-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-89
2011-03-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-137
2011-03-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-138
2011-03-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-89
2011-04-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-10
2011-04-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-110
2011-04-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-88
2011-04-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-136
2011-04-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-137
2011-04-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-88
2011-05-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-9
2011-05-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-109
2011-05-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-87
2011-05-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-135
2011-05-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-136
2011-05-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-87
2011-06-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-8
2011-06-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-108
2011-06-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-86
2011-06-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-134
2011-06-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-135
2011-06-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-86
2011-07-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-7
2011-07-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-107
2011-07-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-85
2011-07-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-133
2011-07-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-134
2011-07-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-85
2011-08-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-6
2011-08-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-106
2011-08-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-84
2011-08-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-132
2011-08-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-133
2011-08-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-84
2011-09-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-5
2011-09-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-105
2011-09-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-83
2011-09-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-131
2011-09-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-132
2011-09-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-83
2011-10-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-4
2011-10-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-104
2011-10-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-82
2011-10-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-130
2011-10-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-131
2011-10-01,yeti_water_bottle,Yeti,0.010416666666666666,6,2018-08-01,-82
2011-11-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-3
2011-11-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-103
2011-11-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-81
2011-11-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-129
2011-11-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-130
2011-11-01,yeti_water_bottle,Yeti,0.009803921568627449,6,2018-08-01,-81
2011-12-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-2
2011-12-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-102
2011-12-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-80
2011-12-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-128
2011-12-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-129
2011-12-01,yeti_water_bottle,Yeti,0.008333333333333333,6,2018-08-01,-80
2012-01-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-1
2012-01-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-101
2012-01-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-79
2012-01-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-127
2012-01-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-128
2012-01-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-79
2012-02-01,camelbak_water_bottle,CamelBak,0.007568027210884354,6,2012-02-01,0
2012-02-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-100
2012-02-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-78
2012-02-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-126
2012-02-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-127
2012-02-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-78
2012-03-01,camelbak_water_bottle,CamelBak,0.007398373983739837,6,2012-02-01,1
2012-03-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-99
2012-03-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-77
2012-03-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-125
2012-03-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-126
2012-03-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-77
2012-04-01,camelbak_water_bottle,CamelBak,0.011204481792717087,6,2012-02-01,2
2012-04-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-98
2012-04-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-76
2012-04-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-124
2012-04-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-125
2012-04-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-76
2012-05-01,camelbak_water_bottle,CamelBak,0.0070921985815602835,6,2012-02-01,3
2012-05-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-97
2012-05-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-75
2012-05-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-123
2012-05-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-124
2012-05-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-75
2012-06-01,camelbak_water_bottle,CamelBak,0.010204081632653062,6,2012-02-01,4
2012-06-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-96
2012-06-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-74
2012-06-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-122
2012-06-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-123
2012-06-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-74
