date,owala,water bottle,isPartial,trend_slug,trend_label,trend_query,baseline_term,geo,country
2017-03-01,0,24,False,owala,Owala,owala,water bottle,GB,United Kingdom
2017-04-01,0,24,False,owala,Owala,owala,water bottle,GB,United Kingdom
2017-05-01,0,25,False,owala,Owala,owala,water bottle,GB,United Kingdom
2017-06-01,0,37,False,owala,Owala,owala,water bottle,GB,United Kingdom
2017-07-01,0,50,False,owala,Owala,owala,water bottle,GB,United Kingdom
2017-08-01,0,29,False,owala,Owala,owala,water bottle,GB,United Kingdom
2017-09-01,0,29,False,owala,Owala,owala,water bottle,GB,United Kingdom
2017-10-01,0,27,False,owala,Owala,owala,water bottle,GB,United Kingdom
2017-11-01,0,39,False,owala,Owala,owala,water bottle,GB,United Kingdom
2017-12-01,0,41,False,owala,Owala,owala,water bottle,GB,United Kingdom
2018-01-01,0,37,False,owala,Owala,owala,water bottle,GB,United Kingdom
2018-02-01,0,31,False,owala,Owala,owala,water bottle,GB,United Kingdom
2018-03-01,0,31,False,owala,Owala,owala,water bottle,GB,United Kingdom
2018-04-01,0,29,False,owala,Owala,owala,water bottle,GB,United Kingdom
2018-05-01,0,30,False,owala,Owala,owala,water bottle,GB,United Kingdom
2018-06-01,0,53,False,owala,Owala,owala,water bottle,GB,United Kingdom
2018-07-01,0,58,False,owala,Owala,owala,water bottle,GB,United Kingdom
2018-08-01,0,41,False,owala,Owala,owala,water bottle,GB,United Kingdom
2018-09-01,0,36,False,owala,Owala,owala,water bottle,GB,United Kingdom
2018-10-01,0,35,False,owala,Owala,owala,water bottle,GB,United Kingdom
2018-11-01,0,46,False,owala,Owala,owala,water bottle,GB,United Kingdom
2018-12-01,0,51,False,owala,Owala,owala,water bottle,GB,United Kingdom
2019-01-01,0,41,False,owala,Owala,owala,water bottle,GB,United Kingdom
2019-02-01,0,40,False,owala,Owala,owala,water bottle,GB,United Kingdom
2019-03-01,0,32,False,owala,Owala,owala,water bottle,GB,United Kingdom
2019-04-01,0,31,False,owala,Owala,owala,water bottle,GB,United Kingdom
2019-05-01,0,37,False,owala,Owala,owala,water bottle,GB,United Kingdom
2019-06-01,0,50,False,owala,Owala,owala,water bottle,GB,United Kingdom
2019-07-01,0,50,False,owala,Owala,owala,water bottle,GB,United Kingdom
2019-08-01,0,44,False,owala,Owala,owala,water bottle,GB,United Kingdom
2019-09-01,0,38,False,owala,Owala,owala,water bottle,GB,United Kingdom
2019-10-01,0,38,False,owala,Owala,owala,water bottle,GB,United Kingdom
2019-11-01,0,51,False,owala,Owala,owala,water bottle,GB,United Kingdom
2019-12-01,0,55,False,owala,Owala,owala,water bottle,GB,United Kingdom
2020-01-01,0,45,False,owala,Owala,owala,water bottle,GB,United Kingdom
2020-02-01,0,38,False,owala,Owala,owala,water bottle,GB,United Kingdom
2020-03-01,0,28,False,owala,Owala,owala,water bottle,GB,United Kingdom
2020-04-01,0,29,False,owala,Owala,owala,water bottle,GB,United Kingdom
2020-05-01,0,37,False,owala,Owala,owala,water bottle,GB,United Kingdom
2020-06-01,0,40,False,owala,Owala,owala,water bottle,GB,United Kingdom
2020-07-01,0,36,False,owala,Owala,owala,water bottle,GB,United Kingdom
2020-08-01,0,45,False,owala,Owala,owala,water bottle,GB,United Kingdom
2020-09-01,0,40,False,owala,Owala,owala,water bottle,GB,United Kingdom
2020-10-01,0,40,False,owala,Owala,owala,water bottle,GB,United Kingdom
2020-11-01,0,52,False,owala,Owala,owala,water bottle,GB,United Kingdom
2020-12-01,0,51,False,owala,Owala,owala,water bottle,GB,United Kingdom
2021-01-01,0,44,False,owala,Owala,owala,water bottle,GB,United Kingdom
2021-02-01,0,39,False,owala,Owala,owala,water bottle,GB,United Kingdom
2021-03-01,0,39,False,owala,Owala,owala,water bottle,GB,United Kingdom
2021-04-01,0,36,False,owala,Owala,owala,water bottle,GB,United Kingdom
2021-05-01,0,37,False,owala,Owala,owala,water bottle,GB,United Kingdom
2021-06-01,0,44,False,owala,Owala,owala,water bottle,GB,United Kingdom
2021-07-01,0,49,False,owala,Owala,owala,water bottle,GB,United Kingdom
2021-08-01,0,48,False,owala,Owala,owala,water bottle,GB,United Kingdom
2021-09-01,0,45,False,owala,Owala,owala,water bottle,GB,United Kingdom
2021-10-01,0,42,False,owala,Owala,owala,water bottle,GB,United Kingdom
2021-11-01,0,57,False,owala,Owala,owala,water bottle,GB,United Kingdom
2021-12-01,0,59,False,owala,Owala,owala,water bottle,GB,United Kingdom
2022-01-01,0,55,False,owala,Owala,owala,water bottle,GB,United Kingdom
2022-02-01,0,50,False,owala,Owala,owala,water bottle,GB,United Kingdom
2022-03-01,0,53,False,owala,Owala,owala,water bottle,GB,United Kingdom
2022-04-01,0,45,False,owala,Owala,owala,water bottle,GB,United Kingdom
2022-05-01,0,47,False,owala,Owala,owala,water bottle,GB,United Kingdom
2022-06-01,0,57,False,owala,Owala,owala,water bottle,GB,United Kingdom
2022-07-01,0,65,False,owala,Owala,owala,water bottle,GB,United Kingdom
2022-08-01,0,63,False,owala,Owala,owala,water bottle,GB,United Kingdom
2022-09-01,0,61,False,owala,Owala,owala,water bottle,GB,United Kingdom
2022-10-01,0,58,False,owala,Owala,owala,water bottle,GB,United Kingdom
2022-11-01,0,77,False,owala,Owala,owala,water bottle,GB,United Kingdom
2022-12-01,0,100,False,owala,Owala,owala,water bottle,GB,United Kingdom
2023-01-01,0,63,False,owala,Owala,owala,water bottle,GB,United Kingdom
2023-02-01,0,54,False,owala,Owala,owala,water bottle,GB,United Kingdom
2023-03-01,0,52,False,owala,Owala,owala,water bottle,GB,United Kingdom
2023-04-01,0,47,False,owala,Owala,owala,water bottle,GB,United Kingdom
2023-05-01,0,51,False,owala,Owala,owala,water bottle,GB,United Kingdom
2023-06-01,0,61,False,owala,Owala,owala,water bottle,GB,United Kingdom
2023-07-01,0,57,False,owala,Owala,owala,water bottle,GB,United Kingdom
2023-08-01,1,55,False,owala,Owala,owala,water bottle,GB,United Kingdom
2023-09-01,1,57,False,owala,Owala,owala,water bottle,GB,United Kingdom
2023-10-01,1,53,False,owala,Owala,owala,water bottle,GB,United Kingdom
2023-11-01,1,69,False,owala,Owala,owala,water bottle,GB,United Kingdom
2023-12-01,1,76,False,owala,Owala,owala,water bottle,GB,United Kingdom
2024-01-01,3,66,False,owala,Owala,owala,water bottle,GB,United Kingdom
2024-02-01,2,54,False,owala,Owala,owala,water bottle,GB,United Kingdom
2024-03-01,2,49,False,owala,Owala,owala,water bottle,GB,United Kingdom
2024-04-01,2,49,False,owala,Owala,owala,water bottle,GB,United Kingdom
2024-05-01,2,51,False,owala,Owala,owala,water bottle,GB,United Kingdom
2024-06-01,3,57,False,owala,Owala,owala,water bottle,GB,United Kingdom
2024-07-01,4,57,False,owala,Owala,owala,water bottle,GB,United Kingdom
2024-08-01,8,62,False,owala,Owala,owala,water bottle,GB,United Kingdom
2024-09-01,5,59,False,owala,Owala,owala,water bottle,GB,United Kingdom
2024-10-01,4,56,False,owala,Owala,owala,water bottle,GB,United Kingdom
2024-11-01,7,73,False,owala,Owala,owala,water bottle,GB,United Kingdom
2024-12-01,8,77,False,owala,Owala,owala,water bottle,GB,United Kingdom
2025-01-01,8,62,False,owala,Owala,owala,water bottle,GB,United Kingdom
2025-02-01,7,60,False,owala,Owala,owala,water bottle,GB,United Kingdom
2025-03-01,8,54,False,owala,Owala,owala,water bottle,GB,United Kingdom
2025-04-01,7,54,False,owala,Owala,owala,water bottle,GB,United Kingdom
2025-05-01,8,56,False,owala,Owala,owala,water bottle,GB,United Kingdom
2025-06-01,8,63,False,owala,Owala,owala,water bottle,GB,United Kingdom
2025-07-01,12,68,False,owala,Owala,owala,water bottle,GB,United Kingdom
2025-08-01,15,70,False,owala,Owala,owala,water bottle,GB,United Kingdom
2025-09-01,12,59,False,owala,Owala,owala,water bottle,GB,United Kingdom
2025-10-01,13,58,False,owala,Owala,owala,water bottle,GB,United Kingdom
2025-11-01,22,84,False,owala,Owala,owala,water bottle,GB,United Kingdom
2025-12-01,21,84,False,owala,Owala,owala,water bottle,GB,United Kingdom
2026-01-01,19,70,False,owala,Owala,owala,water bottle,GB,United Kingdom
2026-02-01,13,76,False,owala,Owala,owala,water bottle,GB,United Kingdom
2026-03-01,14,62,False,owala,Owala,owala,water bottle,GB,United Kingdom
2026-04-01,14,65,False,owala,Owala,owala,water bottle,GB,United Kingdom
2026-05-01,15,63,False,owala,Owala,owala,water bottle,GB,United Kingdom
2026-06-01,16,73,True,owala,Owala,owala,water bottle,GB,United Kingdom
