date,hydro flask,water bottle,isPartial,trend_slug,trend_label,trend_query,baseline_term,geo,country
2010-01-01,0,13,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2010-02-01,0,0,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2010-03-01,0,15,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2010-04-01,0,19,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2010-05-01,0,0,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2010-06-01,0,13,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2010-07-01,0,0,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2010-08-01,0,28,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2010-09-01,0,19,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2010-10-01,0,15,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2010-11-01,0,13,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2010-12-01,0,16,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2011-01-01,0,16,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2011-02-01,0,9,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2011-03-01,0,17,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2011-04-01,0,12,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2011-05-01,0,12,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2011-06-01,0,14,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2011-07-01,0,18,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2011-08-01,0,17,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2011-09-01,0,22,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2011-10-01,0,19,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2011-11-01,0,18,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2011-12-01,0,18,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2012-01-01,0,21,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2012-02-01,0,16,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2012-03-01,0,15,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2012-04-01,0,15,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2012-05-01,0,13,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2012-06-01,0,16,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2012-07-01,0,19,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2012-08-01,0,18,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2012-09-01,0,26,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2012-10-01,0,20,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2012-11-01,0,20,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2012-12-01,0,24,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2013-01-01,0,25,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2013-02-01,0,23,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2013-03-01,0,24,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2013-04-01,0,23,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2013-05-01,0,23,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2013-06-01,0,22,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2013-07-01,0,21,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
2013-08-01,0,25,False,hydro_flask,Hydro Flask,hydro flask,water bottle,PH,Philippines
