date,hydro flask,water bottle,isPartial,trend_slug,trend_label,trend_query,baseline_term,geo,country
2017-09-01,0,22,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2017-10-01,0,20,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2017-11-01,0,26,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2017-12-01,0,19,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2018-01-01,0,20,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2018-02-01,0,19,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2018-03-01,0,21,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2018-04-01,0,21,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2018-05-01,0,24,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2018-06-01,0,27,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2018-07-01,7,30,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2018-08-01,0,20,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2018-09-01,0,21,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2018-10-01,0,18,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2018-11-01,0,24,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2018-12-01,0,26,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2019-01-01,0,27,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2019-02-01,0,29,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2019-03-01,0,23,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2019-04-01,0,24,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2019-05-01,0,31,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2019-06-01,17,32,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2019-07-01,20,28,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2019-08-01,68,27,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2019-09-01,85,26,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2019-10-01,44,28,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2019-11-01,51,29,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2019-12-01,23,36,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2020-01-01,21,31,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2020-02-01,16,22,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2020-03-01,11,26,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2020-04-01,8,24,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2020-05-01,5,18,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2020-06-01,8,29,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2020-07-01,6,27,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2020-08-01,6,28,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2020-09-01,0,31,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2020-10-01,0,27,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2020-11-01,7,25,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2020-12-01,7,27,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2021-01-01,0,25,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2021-02-01,8,25,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2021-03-01,4,33,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2021-04-01,0,33,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2021-05-01,0,35,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2021-06-01,5,32,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2021-07-01,0,35,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2021-08-01,0,32,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2021-09-01,0,30,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2021-10-01,0,26,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2021-11-01,6,37,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2021-12-01,0,30,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2022-01-01,7,34,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2022-02-01,5,35,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2022-03-01,8,45,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2022-04-01,8,38,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2022-05-01,0,43,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2022-06-01,6,43,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2022-07-01,7,57,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2022-08-01,9,55,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2022-09-01,6,48,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2022-10-01,9,48,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2022-11-01,0,48,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2022-12-01,8,49,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2023-01-01,4,54,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2023-02-01,0,41,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2023-03-01,6,50,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2023-04-01,0,42,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2023-05-01,4,54,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2023-06-01,7,57,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2023-07-01,7,55,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2023-08-01,7,56,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2023-09-01,0,57,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2023-10-01,6,43,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2023-11-01,8,62,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2023-12-01,6,50,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2024-01-01,8,61,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2024-02-01,5,62,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2024-03-01,9,64,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2024-04-01,5,59,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2024-05-01,7,58,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2024-06-01,5,60,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2024-07-01,5,70,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2024-08-01,8,69,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2024-09-01,0,66,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2024-10-01,6,54,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2024-11-01,11,60,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2024-12-01,5,59,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2025-01-01,7,55,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2025-02-01,6,50,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2025-03-01,0,53,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2025-04-01,0,49,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2025-05-01,0,50,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2025-06-01,10,63,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2025-07-01,8,79,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2025-08-01,0,56,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2025-09-01,8,55,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2025-10-01,0,49,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2025-11-01,12,83,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2025-12-01,10,78,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2026-01-01,7,66,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2026-02-01,0,100,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2026-03-01,6,53,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2026-04-01,8,70,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2026-05-01,10,77,False,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
2026-06-01,4,60,True,hydro_flask,Hydro Flask,hydro flask,water bottle,DK,Denmark
