date,hydro flask,water bottle,isPartial,trend_slug,trend_label,trend_query,baseline_term,geo,country
2012-09-01,0,2,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2012-10-01,0,2,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2012-11-01,0,2,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2012-12-01,0,2,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2013-01-01,0,2,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2013-02-01,0,3,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2013-03-01,0,2,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2013-04-01,0,3,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2013-05-01,0,3,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2013-06-01,0,2,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2013-07-01,0,3,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2013-08-01,0,3,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2013-09-01,0,3,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2013-10-01,0,2,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2013-11-01,0,3,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2013-12-01,0,3,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2014-01-01,0,3,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2014-02-01,0,3,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2014-03-01,0,3,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2014-04-01,0,3,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2014-05-01,0,4,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2014-06-01,0,4,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2014-07-01,0,3,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2014-08-01,0,4,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2014-09-01,0,4,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2014-10-01,0,4,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2014-11-01,0,4,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2014-12-01,0,4,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2015-01-01,0,3,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2015-02-01,0,4,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2015-03-01,0,4,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2015-04-01,0,3,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2015-05-01,0,4,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2015-06-01,0,4,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2015-07-01,0,4,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2015-08-01,0,5,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
