date,yeti tumbler,water bottle,isPartial,trend_slug,trend_label,trend_query,baseline_term,geo,country
2014-05-01,0,36,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2014-06-01,0,36,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2014-07-01,0,40,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2014-08-01,0,37,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2014-09-01,0,36,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2014-10-01,0,28,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2014-11-01,0,35,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2014-12-01,0,33,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2015-01-01,0,38,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2015-02-01,0,29,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2015-03-01,0,35,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2015-04-01,0,34,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2015-05-01,0,40,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2015-06-01,0,39,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2015-07-01,0,40,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2015-08-01,0,38,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2015-09-01,0,35,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2015-10-01,0,34,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2015-11-01,0,37,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2015-12-01,0,43,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2016-01-01,0,41,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2016-02-01,0,40,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2016-03-01,0,41,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2016-04-01,0,43,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2016-05-01,0,50,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2016-06-01,0,39,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2016-07-01,0,40,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2016-08-01,0,37,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2016-09-01,0,42,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2016-10-01,0,42,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2016-11-01,0,37,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2016-12-01,0,49,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2017-01-01,0,35,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2017-02-01,0,39,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2017-03-01,0,40,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2017-04-01,0,38,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2017-05-01,0,36,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2017-06-01,0,34,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2017-07-01,0,42,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2017-08-01,0,39,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2017-09-01,0,47,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2017-10-01,0,36,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2017-11-01,0,40,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2017-12-01,0,49,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2018-01-01,0,41,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2018-02-01,0,42,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2018-03-01,0,44,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2018-04-01,0,47,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2018-05-01,0,45,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2018-06-01,0,39,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2018-07-01,0,48,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2018-08-01,0,43,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2018-09-01,0,40,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2018-10-01,0,39,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2018-11-01,2,45,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2018-12-01,1,44,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2019-01-01,0,42,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2019-02-01,2,41,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2019-03-01,0,48,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2019-04-01,0,46,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2019-05-01,0,44,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2019-06-01,0,42,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2019-07-01,0,47,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2019-08-01,0,47,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2019-09-01,0,50,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2019-10-01,1,45,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2019-11-01,0,52,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2019-12-01,0,53,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
